name,source,url,category,abv,price,quantity,single_vol,total_vol,ml_per_dollar,alcohol_vol,alc_per_dollar
Abe Erb Das Spritzhaus,The Beer Store,http://www.thebeerstore.ca/beers/abe-erb-das-spritzhaus,Ale,4.7,16.25,6,473,2838,174.65,133,8.21
Abe Erb Das Spritzhaus,The Beer Store,http://www.thebeerstore.ca/beers/abe-erb-das-spritzhaus,Ale,4.7,32.0,12,473,5676,177.38,266,8.34
Abe Erb Das Spritzhaus,The Beer Store,http://www.thebeerstore.ca/beers/abe-erb-das-spritzhaus,Ale,4.7,61.5,24,473,11352,184.59,533,8.68
Affligem Blonde,The Beer Store,http://www.thebeerstore.ca/beers/affligem-blonde,Ale,6.5,179.05,1,20000,20000,111.7,1300,7.26
All Or Nothing Hopfenweis,The Beer Store,http://www.thebeerstore.ca/beers/all-or-nothing-hopfenweisse,Ale,5.1,2.95,1,473,473,160.34,24,8.18
All Or Nothing Hopfenweis,The Beer Store,http://www.thebeerstore.ca/beers/all-or-nothing-hopfenweisse,Ale,5.1,63.95,24,473,11352,177.51,578,9.05
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,3.0,1,473,473,157.67,23,7.88
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,17.5,6,473,2838,162.17,141,8.11
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,33.95,12,473,5676,167.19,283,8.36
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,64.95,24,473,11352,174.78,567,8.74
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,14.15,6,355,2130,150.53,106,7.53
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,26.5,12,355,4260,160.75,213,8.04
Amsterdam Big Wheel,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-big-wheel,Ale,5.0,47.95,24,355,8520,177.69,426,8.88
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,3.25,1,473,473,145.54,33,10.33
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,24.95,8,473,3784,151.66,268,10.77
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,48.0,16,473,7568,157.67,537,11.19
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,69.0,24,473,11352,164.52,805,11.68
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,14.4,6,355,2130,147.92,151,10.5
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,27.0,12,355,4260,157.78,302,11.2
Amsterdam Boneshaker IPA ,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-boneshaker-ipa,Ale,7.1,52.95,24,355,8520,160.91,604,11.42
Amsterdam Downtown Brown,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-downtown-brown,Ale,5.0,3.15,1,473,473,150.16,23,7.51
Amsterdam Downtown Brown,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-downtown-brown,Ale,5.0,17.95,6,473,2838,158.11,141,7.91
Amsterdam Downtown Brown,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-downtown-brown,Ale,5.0,34.5,12,473,5676,164.52,283,8.23
Amsterdam Downtown Brown,The Beer Store,http://www.thebeerstore.ca/beers/amsterdam-downtown-brown,Ale,5.0,65.95,24,473,11352,172.13,567,8.61
Anchor Liberty Ale,The Beer Store,http://www.thebeerstore.ca/beers/anchor-liberty-ale,Ale,5.9,15.25,6,355,2130,139.67,125,8.24
Anderson Amber Ale,The Beer Store,http://www.thebeerstore.ca/beers/anderson-amber-ale,Ale,4.8,13.95,6,355,2130,152.69,102,7.33
Anderson Amber Ale,The Beer Store,http://www.thebeerstore.ca/beers/anderson-amber-ale,Ale,4.8,49.6,24,355,8520,171.77,408,8.25
Anderson IPA ,The Beer Store,http://www.thebeerstore.ca/beers/anderson-ipa,Ale,6.5,13.95,6,355,2130,152.69,138,9.92
Anderson IPA ,The Beer Store,http://www.thebeerstore.ca/beers/anderson-ipa,Ale,6.5,49.6,24,355,8520,171.77,553,11.17
Backpaddle Blonde Ale,The Beer Store,http://www.thebeerstore.ca/beers/backpaddle-blonde-ale,Ale,4.3,3.05,1,473,473,155.08,20,6.67
